date,Open,High,Low,close,Volume,Prev. Day Open Interest
2014-12-31,2076.25,2082.75,2050.75,2052.5,835262,2741375
2014-12-30,2087.5,2088.5,2073,2076.75,716610,2739712
2014-12-29,2086,2088.75,2076,2085.75,636306,2728564
2014-12-26,2078.75,2088.75,2078.5,2084.25,614078,2732874
2014-12-24,2078.75,2083.5,2077,2078.75,235054,2732725
2014-12-23,2073,2084.5,2071.5,2079,774160,2719678
2014-12-22,2065,2076,2064,2072.5,854592,2720187
2014-12-19,2060.25,2076.25,2056.5,2067,1762169,2767647
2014-12-18,2008,2062.75,2004.5,2060,2353440,2634656
2014-12-17,1966.75,2011,1966,2008.25,5528322,2291872
2014-12-16,1984.5,2011.25,1961.5,1965,3345368,1818446
2014-12-15,1990.5,2012.25,1974.5,1983.25,5619572,1422793
2014-12-12,2022.5,2025.5,1989.75,1990.5,2461714,916477
2014-12-11,2019.75,2049.5,2017,2024,873587,475721
2014-12-10,2050.75,2053,2016.5,2019.5,307179,283006
2014-12-09,2053.25,2055,2026.25,2050.5,149696,210020
2014-12-08,2068.75,2070.5,2046.75,2052.25,61082,178588
2014-12-05,2064,2071.75,2061.5,2069,32452,167212
2014-12-04,2066,2070,2054,2064.5,30889,157887
2014-12-03,2059.5,2068.5,2056,2065.5,28316,144974
2014-12-02,2044.25,2061,2044,2058.75,15251,136299
2014-12-01,2056.75,2057,2041.25,2043.5,12479,132949
2014-11-28,2068,2068.75,2058.1,2060.65,162826.6,692529.2
2014-11-26,2064.05,2070.9,2061.05,2067.9,300368.4,1258734.8
2014-11-25,2064.15,2070.1,2059.95,2064.7,589363.4,1824390.6
2014-11-24,2060.75,2067.55,2059.35,2066.05,627917.8,2389462.6
2014-11-21,2052.25,2072.25,2049.75,2061.75,1630436,2959677
2014-11-20,2047,2052.75,2035.25,2052,1125939,2933002
2014-11-19,2048.75,2050.5,2037.75,2047.25,1188389,2934115
2014-11-18,2039.25,2054,2035.75,2048.5,1140878,2924341
2014-11-17,2038.5,2040.5,2025.25,2039.75,1058349,2924312
2014-11-14,2033,2039.75,2032,2038,1045649,2937647
2014-11-13,2034.75,2043.75,2026.75,2034,1541378,2922873
2014-11-12,2036.5,2037.25,2026.75,2036,1082154,2868786
2014-11-11,2033.75,2039,2031,2036.5,779077,2863436
2014-11-10,2025.75,2035,2021,2034,957940,2851049
2014-11-07,2027.25,2033.5,2020.5,2026,1282333,2863233
2014-11-06,2018.5,2029.25,2010.75,2028,1433396,2856834
2014-11-05,2006.25,2020.5,2003.75,2018.75,1568956,2837987
2014-11-04,2010.5,2013.75,1995.25,2005.5,1518682,2813514
2014-11-03,2011.25,2019.25,2007,2011,1358108,2822107
2014-10-31,1987.75,2016.75,1986.75,2011.5,1923491,2883991
2014-10-30,1971.75,1994.25,1959.25,1988.5,1980779,2854076
2014-10-29,1976,1985.75,1962,1972.25,1894337,2856633
2014-10-28,1957.75,1980.75,1956.75,1980,1570163,2833776
2014-10-27,1960.25,1965.75,1944.5,1957,1446627,2829899
2014-10-24,1946,1961.25,1931.75,1959.75,1601128,2844152
2014-10-23,1924.5,1956.25,1922.25,1946,2014791,2828457
2014-10-22,1938.25,1943.75,1920.25,1925,2012915,2816714
2014-10-21,1903.5,1939.75,1885.75,1938,2238181,2799510
2014-10-20,1884,1904.5,1872.25,1900,1649868,2819776
2014-10-17,1853,1891.75,1851,1881,2565562,2822638
2014-10-16,1846.75,1869.75,1815.25,1850.5,3357691,2891394
2014-10-15,1878.25,1883.25,1813,1846.75,4658973,2820880
2014-10-14,1866.25,1892.75,1864.75,1874.75,3111359,2823640
2014-10-13,1892,1906,1863.75,1865.5,2942117,2749030
2014-10-10,1917,1931.25,1893.25,1894.25,3067496,2726452
2014-10-09,1961.5,1968.5,1915.25,1925,3091728,2735211
2014-10-08,1926.25,1964,1918,1961.75,2516066,2769360
2014-10-07,1953.25,1956.25,1924.25,1928,2153512,2745847
2014-10-06,1961,1971,1950.5,1956,1727289,2738142
2014-10-03,1938.5,1964.5,1935.75,1960.25,1551405,2751445
2014-10-02,1940.75,1945.75,1918.25,1938.5,2710514,2790666
2014-10-01,1961,1967,1933.75,1940.75,2444534,2794635
2014-09-30,1968.75,1978.25,1960.5,1965.5,1981670,2802910
2014-09-29,1974.75,1977,1955.5,1969.5,1781415,2793774
2014-09-26,1961,1979.25,1956.5,1976,1674972,2797856
2014-09-25,1990.75,1991.5,1957.75,1961.5,2313833,2810957
2014-09-24,1969.75,1992.5,1969.5,1991,1566579,2795261
2014-09-23,1984,1988,1968.25,1972.25,1624176,2785075
2014-09-22,2002,2006.5,1981.75,1986.25,1577092,2794169
2014-09-19,2006,2014.5,1998.25,2003.75,1665522,2796367
2014-09-18,1995.5,2006.75,1993,2004.5,1402521,2714990
2014-09-17,1991.5,2003.25,1983.25,1993.75,2023188,2509195
2014-09-16,1976.75,1994.5,1970.25,1991.5,2081536,2018909
2014-09-15,1973.75,1979,1968,1976,1741505,1556670
2014-09-12,1991.25,1991.5,1971.25,1976.75,1861253,945046
2014-09-11,1986.75,1991.5,1977.25,1989,803430,423177
2014-09-10,1981.75,1988.25,1973.75,1987,283842,225390
2014-09-09,1992.5,1995,1975.25,1981.75,85879,185494
2014-09-08,1998,1998,1986,1992.5,61972,146203
2014-09-05,1991.25,1999.5,1980.5,1998,44212,121207
2014-09-04,1991,2001.75,1982.75,1989.75,45292,88964
2014-09-03,1991.75,2002.75,1988.25,1990.75,27660,71566
2014-09-02,1991,1998.25,1984.75,1991.75,22377,61492
2014-08-29,1992.45,1997.35,1986.05,1995.1,211802.8,650231.4
2014-08-28,1991.65,1994.85,1982.7,1991.95,443396.2,1232032
2014-08-27,1995.85,1997.3,1990.4,1993.9,457589.4,1805415.2
2014-08-26,1993,2001.1,1990.7,1996.95,703518.8,2387935.6
2014-08-25,1990,1999.75,1988.75,1995,850103,2959504
2014-08-22,1989.75,1991.5,1981.5,1987.75,1115544,2962627
2014-08-21,1982.75,1992,1980.75,1989.5,840038,2954359
2014-08-20,1977.75,1986,1973,1983.25,1058474,2960508
2014-08-19,1968.5,1979.75,1968.25,1977.25,866006,2935727
2014-08-18,1955.75,1969,1955.75,1967.5,884004,2930057
2014-08-15,1954.25,1961,1937.25,1952.5,1811277,2947976
2014-08-14,1946,1955,1942,1953.5,965033,2932233
2014-08-13,1932.25,1946.5,1930.75,1944.75,1119840,2920411
2014-08-12,1934,1938.75,1923.5,1930.5,1233748,2910845
2014-08-11,1923.5,1941,1923.25,1932.5,1177405,2901948
2014-08-08,1905.25,1928.25,1890.25,1923.75,1900403,2916013
2014-08-07,1914.75,1925.75,1899.75,1905.25,1949342,2891258
2014-08-06,1914.75,1923.5,1903,1914.75,1703654,2897573
2014-08-05,1931,1933.25,1907.5,1913,2133765,2896652
2014-08-04,1919.5,1937.5,1914.75,1932,1604373,2901142
2014-08-01,1926,1932.25,1910.25,1918.5,2876640,2936401
2014-07-31,1965,1965.5,1923.5,1924.75,5532066,2928531
2014-07-30,1964.25,1974.25,1956.5,1965,1761889,2944211
2014-07-29,1972.5,1979.5,1962,1963,1499831,2938486
2014-07-28,1970.75,1976,1960.75,1973,1358371,2929174
2014-07-25,1978.75,1980.75,1968,1971.5,1426516,2943169
2014-07-24,1981,1985.75,1976.75,1980.75,1163673,2941364
2014-07-23,1973,1983.5,1972.75,1980.75,1149287,2934875
2014-07-22,1965.75,1980.5,1965.25,1975,1274810,2936374
2014-07-21,1970.25,1971.5,1959,1966.25,1412516,2949424
2014-07-18,1949.25,1974.25,1942.5,1971.5,1794645,2941204
2014-07-17,1971.25,1976,1948.5,1953.5,2438418,2927567
2014-07-16,1968,1978,1967,1974.75,1313844,2918047
2014-07-15,1971.25,1976.25,1958.75,1968,1905574,2909158
2014-07-14,1962.75,1974,1962.5,1971,1003699,2880205
2014-07-11,1957.25,1963.5,1953,1962.5,1361251,2908909
2014-07-10,1967.5,1968.25,1945.25,1957.75,1972590,2915996
2014-07-09,1960.5,1968.25,1958.25,1967.25,1390496,2915133
2014-07-08,1970.5,1970.75,1952.75,1960.5,3546387,2904863
2014-07-07,1975.75,1977.5,1967.25,1971,2194784,2906788
2014-07-03,1968,1978.25,1966,1977.5,840598,2915129
2014-07-02,1966.25,1970,1964.5,1967.75,915433,2929352
2014-07-01,1954.5,1971.75,1953.5,1965.75,1454015,2925452
2014-06-30,1951.75,1956.75,1948,1952.5,1155776,2891207
2014-06-27,1948.25,1954,1942.75,1952,1176113,2868132
2014-06-26,1948.75,1952.5,1936.25,1948.75,1486229,2872653
2014-06-25,1942.25,1953.25,1937.25,1949.5,1530174,2855130
2014-06-24,1951.25,1960,1939.75,1943.25,1527312,2853357
2014-06-23,1952.75,1959.75,1950,1953,1009228,2821923
2014-06-20,1949,1956.75,1948.25,1953.25,1159575,2802321
2014-06-19,1948,1952.25,1944,1950.25,1422506,2728287
2014-06-18,1933.5,1950.25,1929.25,1949,1759064,2500698
2014-06-17,1929,1935.75,1923.75,1933.75,1817191,1991427
2014-06-16,1928,1933.5,1919,1929.25,1739301,1494709
2014-06-13,1923.5,1929.75,1919,1928.25,1524811,997767
2014-06-12,1936.75,1940.5,1917.5,1923.25,770024,590839
2014-06-11,1943.5,1943.5,1931.5,1936.75,319420,328900
2014-06-10,1941.75,1944.25,1935.75,1943.25,168593,197991
2014-06-09,1942,1947.25,1938.5,1942.75,80420,139578
2014-06-06,1930.75,1942.25,1930.25,1942,64151,119486
2014-06-05,1918.25,1933.25,1913.5,1931,30181,99537
2014-06-04,1915.75,1919.5,1908.75,1918.25,19024,86475
2014-06-03,1913.5,1916.25,1908.5,1914.75,17767,71848
2014-06-02,1913.5,1916.75,1906.25,1914.25,10263,66860
2014-05-30,1911.2,1916.05,1908.25,1915.5,236809.2,651987
2014-05-29,1905.1,1913.5,1902.75,1913.5,399368,1231076.2
2014-05-28,1906.65,1911,1901.7,1906.1,638177,1812028.2
2014-05-27,1896.5,1908.5,1895.5,1907.75,736221,2382155.8
2014-05-23,1890.25,1899.25,1889.5,1897,759667,2969158
2014-05-22,1883.75,1894,1882.75,1890.25,1020041,2960598
2014-05-21,1868.5,1886.5,1866.5,1885,1346199,2926404
2014-05-20,1881.5,1884.5,1864.75,1868,1564092,2913686
2014-05-19,1876.25,1883,1865.75,1882.25,1033497,2907323
2014-05-16,1867,1875.75,1861.25,1874.75,1520405,2927173
2014-05-15,1885.75,1888.5,1859,1867.25,2247039,2917070
2014-05-14,1894.75,1897.25,1882.25,1885.25,1186475,2927690
2014-05-13,1893.5,1898.5,1892,1894.25,2153406,2903749
2014-05-12,1874,1894,1874,1892.75,1181458,2861995
2014-05-09,1870.25,1875,1862.5,1873.5,1475471,2863857
2014-05-08,1874.75,1884.75,1865,1872.25,1752614,2850823
2014-05-07,1864,1875.75,1854.5,1874.25,1996074,2829593
2014-05-06,1877.5,1881.5,1861.75,1864.25,1379053,2833539
2014-05-05,1875.5,1880,1860.5,1875.75,1176286,2823037
2014-05-02,1878.75,1886,1872,1874.5,1716276,2822994
2014-05-01,1879.5,1882.75,1871.5,1877.75,936490,2827771
2014-04-30,1870.5,1880.25,1866.25,1878,1496796,2835160
2014-04-29,1866,1875.25,1865,1871.75,1218381,2816864
2014-04-28,1861.75,1871.75,1844,1866,2065167,2806635
2014-04-25,1872.5,1873.75,1853,1860,1507335,2805837
2014-04-24,1879,1882.5,1863.75,1873,1577057,2789027
2014-04-23,1873,1880.75,1867.5,1873,997020,2778573
2014-04-22,1864.25,1878.75,1860.75,1874,1106401,2766346
2014-04-21,1859.25,1865.5,1856.5,1864.5,532255,2766655
2014-04-17,1852.5,1863.75,1847.25,1858,1254621,2757716
2014-04-16,1842.75,1857,1840.5,1852.75,1641733,2795750
2014-04-15,1825,1844,1809.25,1839.5,2608555,2792211
2014-04-14,1806,1828,1803.25,1824.5,3756080,2789974
2014-04-11,1829.5,1832,1807.25,1811.75,2525778,2782527
2014-04-10,1865.75,1867.5,1823.75,1827,2377896,2740044
2014-04-09,1845,1866.5,1843.75,1864.75,1410063,2752796
2014-04-08,1840,1849,1830.75,1845,1852618,2772342
2014-04-07,1861,1861.75,1834.5,1838,2177594,2782262
2014-04-04,1884.25,1892.5,1855.75,1860,2496787,2798619
2014-04-03,1882.75,1887.5,1875.5,1883,1229927,2797469
2014-04-02,1877.75,1886.25,1876.25,1883,1179644,2793964
2014-04-01,1864.5,1878.75,1862.25,1877.75,1212999,2792893
2014-03-31,1855,1868,1855,1864.5,1569852,2790968
2014-03-28,1843.5,1859.5,1841.5,1850.5,1492042,2788523
2014-03-27,1845,1848.5,1834,1840.5,2031060,2805754
2014-03-26,1859,1868.75,1841.5,1842.5,1892736,2796385
2014-03-25,1850.25,1864.5,1848,1859.25,1652222,2807336
2014-03-24,1855.5,1866,1841.25,1849.5,3665772,2815873
2014-03-21,1864.75,1876.75,1855.5,1857,1746978,2814864
2014-03-20,1851.25,1866.5,1844.75,1866,1671773,2756352
2014-03-19,1864,1867.5,1842,1852.25,2004249,2525016
2014-03-18,1851.75,1867,1845.5,1863.75,2029362,2004732
2014-03-17,1832.25,1855.75,1823.5,1850.75,1853795,1552144
2014-03-14,1840,1846.25,1832,1833,2197284,935257
2014-03-13,1861.5,1867.75,1834.5,1839.75,1144064,456005
2014-03-12,1857.5,1861.75,1846.75,1860.75,220311,314285
2014-03-11,1869.5,1875,1855.75,1858,156608,227903
2014-03-10,1868.75,1871.75,1858.75,1870,67815,188304
2014-03-07,1869.5,1880.5,1862.25,1871,48909,163414
2014-03-06,1866,1874,1864.25,1869,46217,129306
2014-03-05,1863.5,1868.25,1860.75,1865.25,27159,114771
2014-03-04,1837.5,1867.75,1836.75,1864.5,18028,109259
2014-03-03,1840,1842.5,1825,1836,31799,95443
2014-02-28,1849.1,1860.7,1839.85,1851.9,436574,695729.2
2014-02-27,1839.4,1851.4,1828.7,1849.8,653580,1293072.4
2014-02-26,1844.6,1850.35,1835.3,1839.2,877231.6,1896921.4
2014-02-25,1843.45,1849.55,1835.9,1844.85,1253836.6,2520933.6
2014-02-24,1835.25,1856.75,1829.25,1846,1606033,3158062
2014-02-21,1836,1844,1832.75,1834.25,1310206,3137291
2014-02-20,1826,1840.25,1817.25,1836.25,1601705,3119786
2014-02-19,1837.25,1844.5,1823.25,1825.5,1768178,3091043
2014-02-18,1833.5,1840.25,1831.5,1837.5,1209343,3062413
2014-02-14,1823.75,1838.75,1816,1835,1365228,3053239
2014-02-13,1816.75,1827,1802.25,1824.25,1645169,3033223
2014-02-12,1813.25,1823.25,1811.25,1817,1378358,3016462
2014-02-11,1795.25,1819.5,1794.25,1813.5,1761813,2990620
2014-02-10,1793,1796,1786.25,1794.75,1142980,2981889
2014-02-07,1768,1794,1758.25,1793.5,2337170,2948744
2014-02-06,1744.75,1769.75,1744,1766.5,1732542,2948425
2014-02-05,1744.25,1750.75,1732,1744,2074002,2944236
2014-02-04,1738.25,1753.5,1734,1743.75,2325416,2974534
2014-02-03,1777.5,1783.75,1732.25,1732.75,3026026,2910899
2014-01-31,1783.5,1788.25,1761.25,1776.5,2383777,2882901
2014-01-30,1770,1793.75,1767.75,1781.25,1821781,2915163
2014-01-29,1796,1801.25,1764,1771.25,2737533,2884678
2014-01-28,1771.25,1797,1771,1788.25,1722933,2881669
2014-01-27,1781.75,1792,1767,1775.75,2756312,2894357
2014-01-24,1824,1828,1780,1782,2562839,2873168
2014-01-23,1839,1844,1813.75,1824.25,1811795,2848291
2014-01-22,1837.5,1843.25,1834.75,1838.5,941132,2852205
2014-01-21,1834,1844,1826.25,1838.5,1326298,2855526
2014-01-17,1838,1842.75,1829.25,1834.25,1157104,2878637
2014-01-16,1841.5,1843.75,1834.5,1836.25,952497,2875586
2014-01-15,1833,1845.75,1831.5,1841.5,1257395,2868227
2014-01-14,1815.75,1834.25,1812.75,1833,1592737,2842950
2014-01-13,1838.5,1838.75,1809.5,1815,1708697,2818929
2014-01-10,1833.25,1842.5,1826.25,1837.75,1455887,2794685
2014-01-09,1831.75,1839,1824.25,1833,1324525,2781053
2014-01-08,1830.75,1834.75,1825.5,1832.5,1330414,2775966
2014-01-07,1819.75,1834.75,1819.5,1830.75,1150952,2766711
2014-01-06,1824,1832.5,1817.25,1820.75,1361860,2779107
2014-01-03,1827.25,1833,1820.5,1825.5,960040,2781562
2014-01-02,1837.75,1840.75,1821.75,1826.5,1223831,2782880
